vessel,service,ata,atb,ats,liner,berth window,berth,berth status
MSC ARICA NA 751R,NWC1,30/12/17 18:00,30/12/17 20:30,02/01/18 02:15,MSC,28/12/2017 07:00,2,OUT
MOL ANCHORAGE 747A,IPANE-ASAS,30/12/17 23:00,31/12/17 04:15,02/01/18 07:20,MOL,31/12/2017 01:00,3,IN
MAERSK LABERINTO 1713,NEO BOSSA,31/12/17 07:30,31/12/17 09:20,01/01/18 18:15,MAE,30/12/2017 01:00,1,OUT
MSC MARTA UA 749A,USA-STRING,01/01/18 15:24,01/01/18 21:20,02/01/18 18:15,MSC,01/01/2018 07:00,1,OUT
MSC AZOV MM 752R,WMED,01/01/18 11:18,02/01/18 06:00,03/01/18 19:10,MSC,02/01/2018 01:00,2,IN
MSC MAUREEN UA 748A,USA-STRING,30/12/17 14:00,02/01/18 11:05,03/01/18 12:45,MSC,25/12/2017 07:00,3,OUT
UASC UMM QASR NA 749A,NWC1,02/01/18 10:50,02/01/18 23:20,04/01/18 01:45,HLC,02/01/2018 19:00,1,IN
MSC CADIZ UA 751R,USA-STRING,03/01/18 01:24,03/01/18 17:55,04/01/18 19:15,MSC,29/12/2017 19:00,3,OUT
MOL ABIDJAN 751B,IPANE-ASAS,03/01/18 10:00,04/01/18 00:00,05/01/18 12:40,MOL,04/01/2018 13:00,2,IN
MSC AMALFI MM 749A,WMED,04/01/18 04:30,04/01/18 06:10,05/01/18 03:50,MSC,03/01/2018 07:00,1,OUT
BARTOLOMEU DIAS 032S,ALCT2,05/01/18 08:30,05/01/18 12:00,05/01/18 22:45,ALI,05/01/2018 13:00,1,IN
CAPE MANILA XA 801A,EXTRA CALL,05/01/18 07:00,05/01/18 09:10,07/01/18 01:45,MSC,EXTRA CALL,3,OUT
MAERSK LAMANAI 1801,NEO BOSSA,05/01/18 15:00,05/01/18 16:30,06/01/18 14:15,MAE,06/01/2018 01:00,2,IN
LOG-IN JATOBÁ 149N,MERCO,06/01/18 01:30,06/01/18 02:45,06/01/18 13:40,LOG,06/01/2018 07:00,1,IN
CMA CGM MAGDALENA 294 NSN,NEO BOSSA,06/01/18 09:00,06/01/18 17:30,07/01/18 21:10,CMA,07/01/2018 01:00,1,IN
MSC NAOMI FI 748A,IPANE-ASAS,06/01/18 20:00,06/01/18 22:00,08/01/18 06:10,MSC,07/01/2018 01:00,2,IN
UASC ZAMZAM NA 752R,NWC1,07/01/18 13:00,07/01/18 18:00,08/01/18 11:15,HLC,04/01/2018 07:00,3,OUT
MSC VANESSA UA 750A,USA-STRING,08/01/18 03:00,08/01/18 04:35,09/01/18 04:15,MSC,08/01/2018 07:00,1,IN
MSC ADELAIDE MM 752R,WMED,08/01/18 03:40,08/01/18 09:55,09/01/18 09:50,MSC,09/01/2018 01:00,2,IN
MSC ELODIE NA 750A,NWC1,08/01/18 22:00,08/01/18 23:25,10/01/18 01:45,MSC,09/01/2018 19:00,3,IN
CSAV TRAIGUEN MM 750A,WMED,09/01/18 23:00,10/01/18 00:54,10/01/18 13:45,HLC,10/01/2018 07:00,1,IN
AMERICO VESPUCIO 041S,ALCT2,10/01/18 16:00,10/01/18 17:15,10/01/18 23:15,ALI,12/01/2018 13:00,1,IN
MSC GIULIA FI 752R,IPANE-ASAS,11/01/18 03:00,11/01/18 04:55,12/01/18 02:10,MSC,11/01/2018 13:00,1,IN
MSC LILY NA 801R,NWC1,12/01/18 04:00,12/01/18 06:05,13/01/18 01:45,MSC,11/01/2018 07:00,1,OUT
LOG-IN RESILIENTE 017N,VITORIA,11/01/18 20:00,12/01/18 13:10,13/01/18 09:20,MSC,13/01/2018 19:00,2,IN
MSC MARTA UA 801R,USA-STRING,13/01/18 04:00,13/01/18 05:30,13/01/18 18:40,MSC,12/01/2018 19:00,3,OUT
MAERSK LABERINTO 1802,NEO BOSSA,14/01/18 00:00,14/01/18 01:25,14/01/18 20:35,MAE,14/01/2018 01:00,2,IN
